date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,23:13:41.349836,5000,2800,1987933.79969419,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.62945393417556
2018-02-28,23:13:50.021437,5250,2800,1369850.85137545,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.12282856670119
2018-02-28,23:13:55.608468,5500,2800,0,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,0
2018-02-28,23:14:07.463957,5000,2800,1980281.43422262,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.62318150346116
2018-02-28,23:14:17.345747,5250,2800,1306042.70006414,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.07052680333126
2018-02-28,23:14:24.147020,5500,2800,0,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,0
2018-02-28,23:14:33.065839,5000,2800,2119887.86351017,0.05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.73761300287719
2018-02-28,23:14:42.028468,5250,2800,1643556.86808411,0.05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.34717776072468
2018-02-28,23:14:50.365840,5500,2800,755179.200039152,0.05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,0.618999344294387
2018-02-28,23:15:00.624018,5000,2800,2039926.97093558,0.05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.67207128765211
2018-02-28,23:15:10.458444,5250,2800,1508646.54880301,0.05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.23659553180575
2018-02-28,23:15:18.407399,5500,2800,0,0.05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,0
2018-02-28,23:15:29.426284,5000,2800,2003074.80196254,0.05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.64186459177257
2018-02-28,23:15:38.910813,5250,2800,1408708.51006149,0.05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.15467910660778
2018-02-28,23:15:47.226701,5500,2800,0,0.05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,0
2018-02-28,23:15:58.974697,5000,2800,1964779.48940751,0.05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.61047499131763
2018-02-28,23:16:09.948761,5250,2800,1279097.27906715,0.05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.048440392678
2018-02-28,23:16:17.644840,5500,2800,0,0.05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,0
2018-02-28,23:16:29.569604,5000,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
